,gene,logFC,AveExpr,P.Value,FDR
UGT2B7,UGT2B7,-0.450438414121547,7.25986566479514,3.15835186707662e-05,0.000186951902633996
UBE2T,UBE2T,0.44994126410046,7.59502200047074,1.70076537318835e-29,1.87366414125745e-27
ZC3H3,ZC3H3,0.449832029947895,8.65018259848232,1.90721487767511e-76,1.09352765759063e-73
MGC70857,MGC70857,0.449590787205444,7.64006054932207,9.55075653303952e-62,3.70686901254648e-59
FOXM1,FOXM1,0.449477310389997,6.4146170373383,2.31146491774744e-35,3.8618302612538e-33
DKFZp761P0423,DKFZp761P0423,-0.449109093857932,8.26355397613931,5.90973948602625e-27,5.30572625457189e-25
GPR177,GPR177,-0.448865714451811,8.25314897442253,5.12910558210892e-18,2.11088214723399e-16
FAM83D,FAM83D,0.447851205433215,6.48459193533984,1.45193585611349e-32,2.04633730603526e-30
MTDH,MTDH,0.447282041971033,8.20737858599249,2.09138465594818e-47,5.38382164288375e-45
TYMS,TYMS,0.446432928216538,8.01005812919511,1.54439745370517e-25,1.21756434256482e-23
STK3,STK3,0.446205331533305,8.79968880524145,7.69163285184851e-73,4.04259403305071e-70
CALML5,CALML5,0.444402088407314,7.28495951215811,7.60959092276188e-06,5.0867715898102e-05
LOC389816,LOC389816,-0.444292402178158,10.3674294357537,1.78679131139152e-08,1.91329249591618e-07
AGR3,AGR3,-0.443047152248521,9.34937624501849,5.04203183940788e-05,0.000286165082664976
CENPF,CENPF,0.441593938730356,7.32478797156549,4.67053632692105e-28,4.49726299448718e-26
C1orf24,C1orf24,-0.439906436989469,9.37843932670279,7.47460316185639e-18,3.01228895474941e-16
GPAA1,GPAA1,0.439871563989683,8.70911682653178,9.53640913509466e-51,2.67316144066853e-48
FCER1A,FCER1A,-0.438433328662397,7.16284241270951,4.33921634325154e-14,1.11249745841006e-12
NEK2,NEK2,0.437964159176754,6.86196722178954,2.76721468331181e-25,2.14803975478739e-23
VPS28,VPS28,0.437697354048498,9.86086652181343,6.58899920038643e-64,2.77045453045582e-61
C9orf140,C9orf140,0.437688460387662,7.15710010394462,2.92117871166756e-28,2.87873033351364e-26
PRKDC,PRKDC,0.436711362734181,8.30630585551607,4.68944891365586e-54,1.47881771492138e-51
MAD2L1,MAD2L1,0.436152779519551,7.57744304423301,5.40436903342317e-24,3.73538142397808e-22
GSTM2,GSTM2,-0.435434218095783,10.3118135097439,7.16877652049524e-09,8.1649613570679e-08
COMMD5,COMMD5,0.43456892820486,8.78654635684249,1.37148205880588e-101,3.45997493795548e-98
COX7A1,COX7A1,-0.433994067725609,8.60109642801743,3.19698914547483e-21,1.81652347211799e-19
CXCL10,CXCL10,0.433518692549644,8.96379619591052,1.129875891139e-08,1.24910205879293e-07
SPARCL1,SPARCL1,-0.432913181172543,10.3744151960584,2.30914416031162e-15,6.98502264704336e-14
TOP1MT,TOP1MT,0.43182927187886,8.15952198040057,2.06389351670592e-50,5.7217478724678e-48
TNFSF10,TNFSF10,-0.429487482230918,9.68645591028013,1.60238870325232e-17,6.2192403393307e-16
PPP1R16A,PPP1R16A,0.427085568940248,7.88169968327371,1.07176386252651e-48,2.84615354987567e-46
ZNF7,ZNF7,0.426672524067268,7.55058105230191,1.19914439011849e-95,1.68066748188385e-92
TTK,TTK,0.426022709676513,6.82040028612919,3.86542789770094e-27,3.52046985571117e-25
RPESP,RPESP,-0.425431568982001,7.52136697410984,2.29980259373957e-07,2.01526293278437e-06
SEPT3,SEPT3,0.425098263696674,6.83404301956518,3.01169050639995e-18,1.25585005116459e-16
LRRC26,LRRC26,-0.424560392482505,9.8596456801272,3.17530023519386e-08,3.26299284454056e-07
CEP55,CEP55,0.42448193094002,7.14173808915425,2.38758527640579e-31,3.01170006765826e-29
ATP6V1C1,ATP6V1C1,0.424462220166249,7.59664738136316,2.39389575882619e-70,1.20786404407334e-67
FOSB,FOSB,-0.423439293065721,8.32476805813845,2.21663110886234e-07,1.94847280886338e-06
FLJ23152,FLJ23152,0.419425962869088,7.46874187127032,6.41482772985796e-10,8.63571365895714e-09
MRPL15,MRPL15,0.419233559895242,8.87236261448714,2.29401607770256e-33,3.40431985931059e-31
GAD1,GAD1,-0.4184408432624,5.81349698693351,7.98407010268359e-17,2.84896917327442e-15
RTN1,RTN1,-0.416622345534998,6.47471419280031,4.73173412736852e-08,4.69599482947494e-07
KIAA0101,KIAA0101,0.414931574230451,8.5022670840581,2.34395415846884e-20,1.22429141842343e-18
ADH1A,ADH1A,-0.414906210781625,7.10529645714543,2.17353490579519e-08,2.2876069504965e-07
EXO1,EXO1,0.414792510342632,6.82195399183613,1.76799774098441e-28,1.79128702849618e-26
PTPRT,PTPRT,-0.413328089994328,6.85173616513671,8.13809197084304e-12,1.44786871819766e-10
ARMCX1,ARMCX1,-0.413107241773875,7.91471372589408,5.97894593981593e-23,3.88754763323908e-21
RIPK2,RIPK2,0.412791282412051,8.47249301035975,4.28066081658489e-44,9.64218848935747e-42
NME1,NME1,0.412763169120162,11.3050145444625,4.56165035266865e-33,6.69077413355376e-31
TBC1D9,TBC1D9,-0.412289579138969,9.45817948718994,1.28394510817425e-09,1.65009511915537e-08
KIFC1,KIFC1,0.412075731743259,6.90323741025049,8.87187939887148e-30,9.94754548776577e-28
ZNF533,ZNF533,-0.41179461072673,6.42849985289512,9.59162494948296e-12,1.68978711051366e-10
DIO1,DIO1,0.411445733061873,6.59257964411843,7.45719365689007e-09,8.47051245277005e-08
FOXA1,FOXA1,-0.411425833474469,10.7813415438977,2.71760522047132e-06,1.97010760063363e-05
PLAC9,PLAC9,-0.411202115217173,7.82914876711926,2.16785179248663e-16,7.42070081694065e-15
HBB,HBB,-0.41106619224429,8.85226387770575,2.69917820435298e-07,2.33681769867594e-06
REEP6,REEP6,-0.410758004986617,8.73363413307642,1.04951208512814e-09,1.36479849915529e-08
TRAPPC9,TRAPPC9,0.410540825908954,7.41291399576476,8.63897038422665e-58,3.02699923407319e-55
CLDN3,CLDN3,0.410506309609576,8.2517047045332,1.56657352765535e-17,6.09899953019894e-16
TRIB1,TRIB1,0.410391545104941,10.0401641518473,1.30455513879033e-24,9.51194134144582e-23
MAOA,MAOA,-0.410275916764105,7.63652788928613,7.65420103532868e-10,1.01685194164967e-08
CDCA8,CDCA8,0.410265238617481,6.83459704009496,4.55925242072345e-34,7.14415031490753e-32
TPRG1,TPRG1,-0.410264175241727,6.33842152123927,3.96086492599768e-15,1.16191512038453e-13
LOC145837,LOC145837,-0.409930234129462,6.87216571707446,6.18542368508272e-13,1.3303143114004e-11
BUB1,BUB1,0.409335972705867,6.65062095014301,5.5877709540933e-31,6.87650173804224e-29
RACGAP1,RACGAP1,0.408621703293263,7.91479834452074,1.37989495434842e-38,2.67784537756169e-36
SHARPIN,SHARPIN,0.407800469169658,6.98354392841684,2.11814323419673e-85,1.72375862942952e-82
FAM129A,FAM129A,-0.407513725163029,8.69277095016755,4.76644347477767e-15,1.3837495509976e-13
RGS5,RGS5,-0.406884048070411,7.80061267486684,1.7539139692386e-19,8.19402622517621e-18
LRRCC1,LRRCC1,0.40631911976862,7.966295559158,2.40625569332963e-34,3.8420897867924e-32
FAM91A1,FAM91A1,0.405879414675861,6.39981357909747,3.85354593999773e-97,5.71866217495663e-94
CDKN3,CDKN3,0.405784845429888,7.06103048093335,6.27168849838827e-29,6.56523474843731e-27
FBXO32,FBXO32,0.405446562235178,9.52168554302804,1.43474385614788e-19,6.74035716999974e-18
CDC2,CDC2,0.405234024269598,7.33116063397739,5.62649354029377e-23,3.67733624441791e-21
CCNA2,CCNA2,0.405030076460375,6.96295192795326,9.50268153420273e-32,1.24861275908785e-29
NRBP2,NRBP2,0.404534391455279,8.89657587225105,1.39779456400072e-30,1.68725173495743e-28
LRRC31,LRRC31,-0.404378287509469,6.36635230414123,7.09105878967412e-19,3.12750404101222e-17
OPLAH,OPLAH,0.403285185680282,8.15614796143926,1.92197351881019e-26,1.67198441146701e-24
FABP4,FABP4,-0.402963343243226,7.56134095986498,2.94300591482423e-07,2.53054373616857e-06
GINS2,GINS2,0.402872638852049,8.19634624378366,1.90865927825734e-18,8.1063394397098e-17
CDCA7,CDCA7,0.402791058401435,6.84215715422908,2.86168909593345e-14,7.50464579128992e-13
ZNF707,ZNF707,0.402353076295955,6.32154298250235,5.77848911508543e-88,5.20641869269197e-85
ARMCX2,ARMCX2,-0.402203911058938,8.59956831209826,9.83245001117076e-22,5.83654232663096e-20
YBX2,YBX2,0.402011742720873,6.52244454072894,4.58687554949043e-30,5.28391307591528e-28
TFRC,TFRC,0.401961074993009,9.99331818997528,4.73934008381569e-24,3.29377607808546e-22
ZNF696,ZNF696,0.40165715058751,6.94699912745112,2.89617804095824e-84,2.21408423082711e-81
NUSAP1,NUSAP1,0.400894620693815,8.24409593393111,2.20144364023034e-22,1.36793153092933e-20
TROAP,TROAP,0.400631751637219,6.79733642804111,2.69208079806622e-30,3.1885358860852e-28
RNASE4,RNASE4,-0.400584744526307,8.23215653726621,7.92811243998759e-14,1.94941930444451e-12
ANKRD46,ANKRD46,0.400328314573152,8.09339455321676,1.7670493249402e-60,6.65360005516288e-58
ALCAM,ALCAM,-0.40027734637986,9.12506764144573,2.85395322934228e-15,8.54709231986952e-14
PPP1R3C,PPP1R3C,-0.399447369222089,8.1042539814095,3.24973810039989e-09,3.90030412925254e-08
RBM35A,RBM35A,0.399323161754428,6.43465536302804,2.78195895960877e-63,1.13198807472597e-60
